plan_id,region,year,tot_nonmiss,obs_purchase,pred_purchase
Small_BR,3,2015,3948,23,57.6245070806524
Small_G,3,2015,3948,7,20.2939863926201
Small_P,3,2015,3948,5,9.2750860609121
Small_SIL,3,2015,3948,45,168.669273300433
ANT_BR,3,2016,2725,199,175.280159197101
ANT_BR_HSA,3,2016,2725,161,110.716959378547
ANT_G,3,2016,2725,13,18.6466405047876
ANT_G3,3,2016,2725,0,0.113201715386469
ANT_P,3,2016,2725,8,4.36024036544432
ANT_P3,3,2016,2725,0,0.0190693505175158
ANT_SIL,3,2016,2725,378,286.987269718883
ANT_SIL3,3,2016,2725,1,3.39772999469332
BS_BR,3,2016,2725,42,118.861072492036
BS_BR_HSA,3,2016,2725,5,58.2818903988424
BS_G,3,2016,2725,22,20.0332214499649
BS_P,3,2016,2725,8,1.95933181293323
BS_SIL,3,2016,2725,394,321.593670276887
HN_BR,3,2016,2725,7,109.491876202428
HN_G,3,2016,2725,0,9.65967400330743
HN_P,3,2016,2725,1,2.05904441024917
HN_SIL,3,2016,2725,10,154.860172188282
KA_BR,3,2016,2725,292,295.089574686922
KA_BR_HSA,3,2016,2725,51,163.456645560559
KA_G,3,2016,2725,44,64.2145330694782
KA_P,3,2016,2725,48,32.7653070543952
KA_SIL,3,2016,2725,956,585.463854242009
Small_BR,3,2016,2725,17,39.256755075697
Small_G,3,2016,2725,5,14.1826309773525
Small_P,3,2016,2725,4,6.32018734382398
Small_SIL,3,2016,2725,59,127.929288529474
ANT_BR,3,2017,2603,83,167.974764214819
ANT_BR_HSA,3,2017,2603,32,92.2853343737396
ANT_G,3,2017,2603,5,5.45674422849754
ANT_G3,3,2017,2603,0,0.0558114653069677
ANT_P,3,2017,2603,0,0.855919737128044
ANT_P3,3,2017,2603,0,0.00561737040738924
ANT_SIL,3,2017,2603,93,119.462881693814
ANT_SIL3,3,2017,2603,1,1.35856858139081
BS_BR,3,2017,2603,20,64.7419736146306
BS_BR_HSA,3,2017,2603,18,42.0591249755474
BS_G,3,2017,2603,7,6.35137302450136
BS_G3,3,2017,2603,0,2.63724846763808
BS_P,3,2017,2603,5,0.436898882060462
BS_P3,3,2017,2603,0,0.257418580889252
BS_SIL,3,2017,2603,204,118.322083620228
BS_SIL3,3,2017,2603,4,41.7803625123094
HN_BR,3,2017,2603,3,76.5802606582233
HN_G,3,2017,2603,1,2.69488296150437
HN_P,3,2017,2603,0,0.436885116547363
HN_SIL,3,2017,2603,7,55.3625977896236
KA_BR,3,2017,2603,409,403.115776309775
KA_BR_HSA,3,2017,2603,58,201.571906658684
KA_G,3,2017,2603,39,90.4164660554456
KA_G_COIN,3,2017,2603,38,134.084224051303
KA_P,3,2017,2603,35,36.9377359784863
KA_SIL,3,2017,2603,1357,727.870577046454
Small_BR,3,2017,2603,32,44.7524804973442
Small_G,3,2017,2603,2,12.5419455758708
Small_P,3,2017,2603,1,4.66013273898825
Small_SIL,3,2017,2603,149,147.932003218843
BS_BR,3,2018,2614,63,78.4038155196431
BS_BR_HSA,3,2018,2614,33,45.5728861814295
BS_G,3,2018,2614,14,2.18253114552663
