"statistic","point","boot_mean","se","ci_lo","ci_hi","n_draws"
"dcat_flat_mandate",-2.82262898369582e-05,-2.8233205873935e-05,1.82321869544218e-07,-2.85193702334161e-05,-2.79659349102282e-05,30
"dshare_defund_1.00",-0.0101286410820807,-0.0101189607474208,0.00010022283963881,-0.0103039355763634,-0.00995938142346085,30
"dobjins_defund_1.00",-43.98987056515,-43.8278943101837,0.856282668138829,-45.470697864015,-42.4941537005292,30
"doop_defund_1.00",-5.70771781636164,-5.70186527844259,0.0584781430797362,-5.80692168576942,-5.60694132480488,30
"dmort_defund_1.00",-4.41878375782132e-05,-4.41615559569614e-05,4.3402817836735e-07,-4.49408067803343e-05,-4.34807501352663e-05,30
"dcat_defund_1.00",-0.000555615591483824,-0.000555275906413301,5.14471233003736e-06,-0.000564802445852658,-0.00054696447728647,30
"shareworse_obj_zero_tau0.00",NA,0.670190597062177,0.00033646134770245,0.66962926074414,0.6708286055288,30
"shareworse_obj_zero_tau1.00",NA,0.694012490431546,0.00362633046402086,0.688196248014322,0.700758970221135,30
"shareworse_obj_aligned",NA,0.436590203086249,0.000525943133226117,0.435673806702136,0.437431534386198,30
"shareworse_obj_endog_tau0.50",NA,0.609599645620893,0.00204973861113331,0.606848043926324,0.613577635920294,30
"shareworse_nav_zero_tau0.00",NA,0.447113120836614,0.000607819798363105,0.446089066701034,0.448042992436447,30
"shareworse_nav_zero_tau1.00",NA,0.344879760451678,0.0139292585453311,0.323775638708882,0.370285771853197,30
"shareworse_nav_aligned",NA,0.460422182438623,0.000847608847999887,0.459006817844345,0.461667836360529,30
"shareworse_nav_endog_tau0.50",NA,0.290913821189841,0.00660455770555027,0.280228624953656,0.302547551207376,30
