"param","(Intercept)","log_risk_score","HMO","year_2015","year_2016","year_2017","year_2018","Anthem","Blue_Shield","Kaiser","Health_Net","share_ra2","share_ra3","share_ra4","share_ra5","share_ra6","share_ra7","share_ra8","share_ra9","share_ra10","share_ra11","share_ra12","share_ra13","share_ra14","share_ra15","share_ra16","share_ra17","share_ra18","share_ra19","wedge_ANT","wedge_BS","wedge_CC","wedge_HN","wedge_KA","wedge_LA","wedge_MOL","wedge_OSC","wedge_SH","wedge_VAL","wedge_WEST"
"share_ra11",-0.000173083152937557,0.000489226043405876,0.00370396396534417,-1.24561770426997e-05,-0.000241723785584787,-0.000543803663079551,-0.000374760283347401,-0.00488943357845268,-0.00272706172842456,-0.00763846594210744,0.00211044901424395,0.00450509119135389,-0.0114804789854101,-0.00123810935807641,0.0183258492999854,0.0217174135740753,-0.00349493811136724,-0.0244688608576007,-0.00249858356256191,0.00642641090569147,0.207967573921171,0.0102254512183214,-0.00382029705407397,-0.121114844870261,-0.00852631406241757,0.000117805733207582,-0.0049821797173464,0.000625866009042746,-0.0040450323387995,0.000885438590534865,-0.00156943333823071,0.00763816895536,0.00170685398887082,-0.0043618301496232,-0.000957741240061818,-1.45338243991697e-07,0.00220204681438924,0.00227611412624533,0.00176089863564937,-0.0102697972313057
"share_ra12",-1.87745213985089e-05,4.77307493792899e-05,-0.000197886718207899,-4.52922083708594e-05,-3.9108903504009e-05,-0.000111956662693705,-0.000164451694770694,-0.000863727269932334,-0.00141225486377678,-0.000174615582374942,0.00013737884821358,0.00121597432071376,-0.000727164628149914,0.000692085042215245,0.00306126479232508,-0.00218401127623617,0.000284780262658053,-0.00355765454333094,-0.000972469634766418,0.000554388868306983,0.0102254512183208,0.0127254207347662,0.000386264701550073,-0.0140127683914133,0.00113471225911127,-0.000345934002803264,0.000225445341367999,0.00103746719714526,0.0001663445566568,-0.000144645878342082,-0.00147070195642473,0.00117656672201338,0.000366778549644232,0.000278961101528321,0.000205278967387016,2.02001896462427e-05,0.00011013209437334,0.000341578485319769,0.000152299081537046,-0.00094429761625045
"share_ra13",-1.39097545571974e-06,2.09887208598365e-06,-0.000342686110993079,-4.20566385845949e-05,-4.68028988162876e-05,-3.65217935595448e-05,-7.6639634087692e-05,0.000130005877079463,0.000156533128223615,0.000480389097352862,0.000100311475746224,3.22629285146171e-05,0.00071598956487824,0.000369569805902621,-0.00163413518183227,-0.00104109875503113,0.000383213103510569,0.000659079113462705,-0.000329898550438659,-0.000167281674514615,-0.00382029705407446,0.000386264701549968,0.00137283769723155,-0.00341661302418367,0.00088163013000009,4.88301958768863e-06,0.000380171180934957,5.40235442643763e-05,0.000341914414636564,1.65810158980748e-05,-0.0002854592823676,-0.00032258753704363,-0.000139135075323388,8.64649362803384e-05,1.35680478285889e-05,-9.89868370642015e-05,7.98016903297837e-05,0.000275862237586378,-2.89941116857013e-05,0.000561478748625825
"share_ra14",-5.09121066463191e-05,0.000144911290381264,0.0023157547643839,8.73482709298216e-05,0.000316514799330298,0.000171733881559821,0.000651844618117258,0.000733226292769095,0.000646581157970957,0.00041430261251098,-0.00490482301872506,-0.0131605880514109,0.00683311835666132,-0.00654345312146043,-0.000230071603916068,-0.031625497437415,-0.00261124712421581,0.0305554519883554,0.00888593683679873,-0.00546460852640014,-0.121114844870252,-0.0140127683914126,-0.00341661302418416,0.372920145484495,-0.007912828490169,0.00199531235790611,-0.0035304942660983,-0.0048702937978512,-0.00241972915582422,-0.00412285548782709,0.00277058768238393,-0.00960308955047533,0.00197618207887048,0.00507625309756082,0.00104888002944834,-5.32486596454757e-05,2.3503162507181e-05,-0.00122143893739039,0.00111924942543236,0.0178084814270983
"share_ra15",2.13466356715223e-07,-2.5358148996558e-06,-0.00082750543365601,-5.99250135485979e-05,-2.35670829085466e-06,3.44416233471063e-05,3.50480824650814e-05,1.17092837641652e-05,-0.000445045537102668,0.000643771674732672,-0.000448761284850809,0.000152483276254958,0.00145715863043249,0.000599484558044774,-0.00273991800504799,-0.00137909061060987,0.000804253580088114,0.0028673152065074,0.000337413885504476,-0.000242273641345327,-0.00852631406241921,0.0011347122591112,0.000881630130000255,-0.00791282849016952,0.00374032221546811,-0.00118087920202355,0.0012221369421178,0.00271432877727281,0.00082995270359272,-5.23148800091759e-06,-0.000616395103460702,-0.000750829040045963,-0.000522179915140667,0.000315113805387157,0.000616128890430921,-2.50121921003602e-05,-0.000565966587839519,8.01923147184496e-05,-6.80763817273127e-05,0.00104029019615365
"share_ra16",-4.28086682056479e-06,1.07061233367283e-05,5.83945473785562e-05,-2.35471608529555e-05,-4.02931001654053e-05,-4.18711650120341e-05,-5.22088314228787e-05,0.000182405239959828,0.000519096132757683,0.000273779201118513,0.000401326349957758,-1.4096006459095e-06,-4.77462782702746e-05,3.66010455843599e-05,-0.000968877329275991,-0.000584553524721784,-2.21824232164948e-05,-0.000577211110060317,-0.000595056712967261,-0.000203916342351639,0.000117805733207782,-0.000345934002803355,4.88301958759268e-06,0.00199531235790673,-0.00118087920202377,0.000860824302145862,-0.00032560347075091,-0.0020217657476173,-6.53418408509788e-05,3.93534499293914e-05,1.79441173478835e-05,9.5258052274292e-05,0.000174651228685988,-0.000168662541259749,-6.30688146134576e-05,3.78556708875398e-05,0.000482134856003008,0.000238564535440439,3.78895775821137e-05,-3.59603233035864e-06
"share_ra17",6.76890617281378e-06,-2.17988316709641e-05,-0.000427306467683317,3.07987746833729e-05,4.06299630975645e-05,7.14254834724621e-05,7.03106198808665e-05,0.000117533748046085,-9.88802080751023e-06,0.000421822783591134,-0.00010867997787764,7.84733174569631e-05,0.000702802334762402,0.000276868128273178,-0.00197616513341308,-0.000669647841650323,0.000376174251113787,0.00142648964229801,-5.19085989136636e-05,-0.000405837276293031,-0.00498217971734703,0.000225445341367978,0.000380171180935023,-0.00353049426609843,0.00122213694211777,-0.000325603470750802,0.000765014475288508,0.000560899631734061,0.000443410551955487,-1.92131621191827e-05,-0.000374397066822982,-0.000286603859954286,-0.000228221279274047,8.87541494403531e-05,-0.000105132526086783,-1.09717603682931e-05,-0.000222339522317062,-0.000269932448760802,-0.000110147312020523,0.000310146026563664
"share_ra18",4.29808977677254e-05,-0.000127259741992836,8.66893340961769e-06,-5.95897363367745e-05,-5.90855011622926e-05,-0.000141256278910029,-3.36602943196671e-05,-0.000445598736725028,-0.00135118341900288,-0.000836444703697826,-0.000996229159400272,-6.6300797969627e-05,0.000343109525249937,-3.49075640965711e-05,0.00384840774109516,0.00134071608514988,0.000195002736239684,0.00122969672937696,0.00145805900089652,0.000711990592370619,0.000625866009042921,0.00103746719714545,5.40235442646069e-05,-0.00487029379785311,0.00271432877727338,-0.00202176574761732,0.000560899631734352,0.00591756338910801,8.25993561735574e-05,-0.000251117739506427,6.37538317118161e-05,-0.000875741187605818,-0.000485426890330287,0.000135657476241616,-0.000126105432979914,-0.000108379280049797,-0.00207998039222152,3.04729775210474e-05,-1.35256778697509e-05,-0.000109739164449213
"share_ra19",7.23790600973944e-06,-2.30032391584534e-05,-0.000328813407155519,-4.69910712965211e-06,3.967070820366e-06,2.70568957694827e-05,2.39591920818528e-05,0.000136383085284136,9.69180902529666e-05,0.000399534307853854,9.4458910802982e-06,5.42295183912131e-05,0.000608085661714292,0.000255936987726286,-0.00169260269463475,-0.000691248469085914,0.000321327683731575,0.000988304578921651,-0.000188910456843036,-0.000347242721178314,-0.00404503233879992,0.00016634455665675,0.000341914414636591,-0.0024197291558241,0.000829952703592629,-6.53418408508881e-05,0.000443410551955456,8.259935617332e-05,0.000345869703077038,-1.21420924564836e-05,-0.000286372006441447,-0.000276409620748488,-0.00016650713682824,1.46380752807492e-05,2.80974315738959e-05,1.87341449873524e-06,-0.000125070857382511,-6.55297661416821e-05,-8.76903742368692e-05,0.000282849469438543
"wedge_ANT",-1.247703770552e-05,3.87807337277411e-05,-1.6519092681328e-05,6.32054364816535e-07,-3.60552089365919e-06,9.60975924364796e-06,-1.03987606666196e-05,-0.000404191688977222,-1.37173137999521e-05,-7.02090118438217e-05,0.000101665165383932,0.00034649250503089,-0.000337531353094747,5.68638139011699e-05,-0.000318196775707682,0.00191222300803344,-2.00950423561779e-05,-0.000444275162089204,-5.46019012967888e-05,-0.000196189221061382,0.000885438590535219,-0.000144645878342078,1.65810158979959e-05,-0.00412285548782657,-5.23148800102972e-06,3.93534499293282e-05,-1.92131621192491e-05,-0.000251117739506178,-1.2142092456549e-05,0.0115416719219605,0.000276866861846781,0.000230770430608257,0.000106199445734134,-5.24558454882064e-05,3.4485377889543e-05,1.18199917795679e-05,0.000304665913755601,0.000110567920297767,9.61087250899492e-05,-0.000412447199641517
