region,year,scenario,tau,plan_id,premium_obs,premium_cf,premium_change,share_obs,share_cf,mc,commission_pmpm,markup_cf,cs_weighted,nleqslv_termcd,nleqslv_iter
1,2014,uniform,NA,BS_BR_HSA,261.29,29.347208784504858,-231.94279121549516,0.02962451094892621,0.044727594545006036,-23.121879815231324,12.128053571428623,52.46908859973618,-5.670075579668579,4,100
1,2014,uniform,NA,BS_G,378.69,1031.613201390652,652.9232013906519,0.0337716421925727,1.1165329628854365e-4,1086.072344421931,12.128053571428623,-54.45914303127893,-5.670075579668579,4,100
1,2014,uniform,NA,BS_P,433.92,1023.1611034057939,589.2411034057939,0.01649435375867954,1.1404380721279002e-4,1292.3296095937305,12.128053571428623,-269.1685061879366,-5.670075579668579,4,100
1,2014,uniform,NA,BS_SIL,321.59,140.63283754854334,-180.95716245145664,0.1493087167174965,0.38837094893110347,291.8913782837405,12.128053571428623,-151.25854073519716,-5.670075579668579,4,100
1,2014,uniform,NA,KA_BR,257.35,-3.6165745575119006,-260.96657455751193,0.05927405144975062,0.09301233630845526,-34.846257334701505,12.128053571428623,31.229682777189606,-5.670075579668579,4,100
1,2014,uniform,NA,KA_G,425.63,835.3944685978291,409.76446859782914,0.01444628305487401,2.2621227135878591e-4,851.8578984372936,12.128053571428623,-16.463429839464425,-5.670075579668579,4,100
1,2014,uniform,NA,KA_P,457.77,792.9195893555162,335.14958935551624,0.00944272347125443,3.0379784364986125e-4,833.0079244457187,12.128053571428623,-40.08833509020246,-5.670075579668579,4,100
1,2014,uniform,NA,KA_SIL,350.1,3261.9982049179425,2911.8982049179426,0.0781514872355098,9.096023282822627e-5,943.7417006379728,12.128053571428623,2318.2565042799697,-5.670075579668579,4,100
1,2015,observed,NA,ANT_BR,247.06,-38.60475163874142,-285.66475163874145,0.05827294313678734,0.06764596871501939,-105.88364558009249,16.5,67.27889394135107,-7.305348924889513,3,59
1,2015,observed,NA,ANT_BR_HSA,245.43,-38.622712571233635,-284.05271257123366,0.02616430324103032,0.030069656397212294,-105.88364558009249,16.5,67.26093300885886,-7.305348924889513,3,59
1,2015,observed,NA,ANT_G,398.24,993.8259590381209,595.5859590381209,0.02134117462106415,1.65982771639257e-4,771.0858146428071,16.5,222.7401443953138,-7.305348924889513,3,59
1,2015,observed,NA,ANT_P,467.04,960.4474354169699,493.4074354169699,0.00849311781482208,1.7835000949854038e-4,913.8118372096955,16.5,46.635598207274484,-7.305348924889513,3,59
1,2015,observed,NA,ANT_SIL,325.15,390.46785706150746,65.31785706150748,0.18660163524299472,0.0548233548195944,406.7939075957157,16.5,-16.326050534208264,-7.305348924889513,3,59
1,2015,observed,NA,BS_BR,281.56,-9.016924178888637,-290.57692417888865,0.05425712955820285,0.08078552302822217,-146.23919260048635,10.558499999999464,137.2222684215977,-7.305348924889513,3,59
1,2015,observed,NA,BS_BR_HSA,276.94,-9.57519450053408,-286.51519450053405,0.0249603805709981,0.0357940857549437,-146.89883357876417,10.385249999999592,137.3236390782301,-7.305348924889513,3,59
1,2015,observed,NA,BS_G,401.37,1115.4528634882097,714.0828634882097,0.02680397729091459,1.7408491239448735e-4,774.5790434929025,15.051374999999764,340.87381999530714,-7.305348924889513,3,59
1,2015,observed,NA,BS_P,459.92,1098.8983983096068,638.9783983096067,0.01304308312639362,1.9800370729926173e-4,923.5397204410222,17.2470000000004,175.35867786858466,-7.305348924889513,3,59
1,2015,observed,NA,BS_SIL,340.85,251.3333494825302,-89.51665051746983,0.17735638934660317,0.30679380650510446,303.2201307412885,12.781875000000353,-51.886781258758276,-7.305348924889513,3,59
1,2015,observed,NA,KA_BR,266.33,-94.46392218967175,-360.7939221896717,0.05061687762849681,0.06723666988886513,-167.06613471228943,6.25,72.60221252261768,-7.305348924889513,3,59
1,2015,observed,NA,KA_G,432.46,1040.1513476584707,607.6913476584707,0.01294295750246139,1.2411475945467952e-4,768.5211360440272,6.25,271.6302116144435,-7.305348924889513,3,59
1,2015,observed,NA,KA_P,461.96,980.6090157826889,518.6490157826888,0.00874857835406746,1.3992202169568407e-4,907.1665566541897,6.25,73.4424591284992,-7.305348924889513,3,59
1,2015,observed,NA,KA_SIL,356.02,294.41029380275756,-61.60970619724242,0.10584427273649648,0.1628609623276926,325.88393818974953,6.25,-31.473644386991964,-7.305348924889513,3,59
1,2015,uniform,NA,ANT_BR,247.06,-61.75828804097286,-308.81828804097285,0.05827294313678734,0.06073344923331436,-124.83658478911002,12.394571428571398,63.07829674813716,-7.344108387508165,3,82
1,2015,uniform,NA,ANT_BR_HSA,245.43,-61.7734856899323,-307.20348568993234,0.02616430324103032,0.026996936919580567,-124.83658478911016,12.394571428571398,63.06309909917786,-7.344108387508165,3,82
1,2015,uniform,NA,ANT_G,398.24,981.0400728700456,582.8000728700456,0.02134117462106415,1.4137571184908614e-4,754.9194251000367,12.394571428571398,226.12064777000887,-7.344108387508165,3,82
